row_index,sale_year,sale_month,sale_day,sale_quarter,list_year,town_encoded,house_number,has_unit,zipcode,longitude,latitude,year_built,stories,total_bedrms,total_bthrms,living_area_sqft,style_encoded,fiscal_year_end_june30,mortgage30us,cpi_cuur0100sa0,unemployment_rate,housing_supply_actliscouct,mill_rate,gdp_real_estate,home_age_at_sale,living_area_sqft_log1p,sale_amount_log1p
511,2013,11,14,4.0,2013.0,37,163.0,0,6824.0,-73.2568921,41.137726,1942.0,1.25,3.0,1.0,1101.0,23.0,2014.0,4.35,249.503,7.0,,23.93,37039.7,71.0,7.004881989712859,12.873904582205109
512,2018,3,9,1.0,2017.0,46,52.0,0,6517.0,-72.9150135,41.3492036,1915.0,2.0,3.0,2.0,1558.0,30.0,2018.0,4.46,263.556,4.3,15067.0,,35023.1,103.0,7.351799869057777,12.154784614286667
513,2018,12,12,4.0,2018.0,39,825.0,0,6033.0,-72.5567458,41.6997168,1973.0,2.0,4.0,2.0,2300.0,30.0,2019.0,4.75,265.286,3.2,15974.0,36.0,35023.1,45.0,7.741099090035366,9.99884318585288
514,2009,4,27,2.0,2008.0,46,94.0,0,6514.0,-72.9455807,41.3530623,1950.0,1.5,3.0,2.0,1232.0,24.0,2009.0,4.8,227.84,7.6,,,37588.0,59.0,7.117205503164344,12.28765724080691
515,2010,5,25,2.0,2009.0,15,19.0,0,6013.0,-72.9393661,41.7833005,1969.0,1.0,3.0,2.0,2221.0,44.0,2010.0,4.84,234.13,9.4,,,39119.8,41.0,7.706162970199576,12.754196944209095
516,2015,6,25,2.0,2014.0,63,47.0,0,6460.0,-73.0820835,41.2082625,1956.0,1.0,3.0,1.0,1165.0,24.0,2015.0,4.02,253.626,5.6,,27.22,35570.5,59.0,7.061334366910438,12.301387370778713
517,2017,9,1,3.0,2016.0,68,38.0,0,6051.0,-72.7776423,41.6514313,1948.0,1.5,4.0,2.0,1229.0,23.0,2018.0,3.82,260.875,4.0,19680.0,,35485.1,69.0,7.114769448366463,11.407576060361786
518,2013,12,11,4.0,2013.0,39,482.0,0,6033.0,-72.5481474,41.6867687,2003.0,2.0,4.0,3.0,3704.0,81.0,2014.0,4.46,249.567,6.7,,35.1,37039.7,10.0,8.217438537730187,13.203945207713025
519,2018,7,9,3.0,2017.0,63,30.0,0,6460.0,-73.0021864,41.2347555,1953.0,1.0,3.0,2.0,1582.0,24.0,2019.0,4.52,265.83,4.2,19132.0,27.74,35023.1,65.0,7.367077059881012,12.392556361841775
520,2019,9,30,3.0,2018.0,106,755.0,0,6615.0,-73.1185457,41.1564527,1952.0,1.5,3.0,3.0,1392.0,24.0,2020.0,3.64,270.563,3.3,17358.0,,37215.4,67.0,7.239214973779806,12.75130259456002
521,2018,8,13,3.0,2017.0,64,3.0,0,6468.0,-73.2093591,41.3211815,1963.0,1.75,4.0,2.0,2731.0,23.0,2019.0,4.59,266.425,3.9,19000.0,35.24,35023.1,55.0,7.912789220690681,13.055156766746023
522,2019,6,10,2.0,2018.0,20,9.0,0,6413.0,-72.5148856,41.2946127,1963.0,1.0,4.0,2.0,924.0,100.0,2019.0,3.82,270.133,3.5,17619.0,30.54,37215.4,56.0,6.829793737512425,11.73527670248674
523,2016,6,22,2.0,2015.0,10,157.0,0,6405.0,-72.8195186,41.2665884,1980.0,1.5,3.0,3.0,1747.0,24.0,2016.0,3.54,255.471,5.0,,26.93,34944.3,36.0,7.466227556215481,12.779875885354992
524,2007,3,6,1.0,2006.0,37,241.0,0,6825.0,-73.2315614,41.1989451,1927.0,2.25,3.0,1.0,1654.0,30.0,2007.0,6.18,218.334,4.5,,,29520.5,80.0,7.411556287811163,12.861001210669146
525,2010,3,19,1.0,2009.0,80,4.0,0,6360.0,-72.1318433,41.5527695,1972.0,1.0,3.0,1.0,960.0,101.0,2010.0,4.96,233.188,9.9,,,39119.8,38.0,6.8679744089702925,12.144202560946876
526,2013,8,20,3.0,2012.0,11,3690.0,0,6606.0,-73.2376068,41.2257008,1948.0,2.0,3.0,1.0,1232.0,30.0,2014.0,4.4,249.858,8.0,,41.855,37039.7,65.0,7.117205503164344,11.6172944892629
527,2008,5,23,2.0,2007.0,46,16.0,0,6517.0,-72.9154051,41.3649242,1930.0,2.25,3.0,1.0,2190.0,30.0,2008.0,5.98,230.089,5.4,,,32053.5,78.0,7.692113339595466,12.619839862232691
